,model_name,precision,recall,f1_score,roc_auc,coverage,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,Test_Year
185,XG Boost Classifier,0.6184049079754601,0.10784593437945791,0.18366231399939267,0.5304364478633148,0.09202800361336946,3,0.1,250,1.0,0.8,2024
186,XG Boost Classifier,0.5678298800436204,0.39375378100423475,0.46503527730642136,0.5451681564569257,0.3597348083637362,3,0.1,250,1.0,1.0,2019
187,XG Boost Classifier,0.647689977278465,0.3255504092379925,0.43330659122577375,0.5936162669004788,0.29937268536013906,3,0.1,250,1.0,1.0,2020
188,XG Boost Classifier,0.5765297569153395,0.2343121891394699,0.3332041468849917,0.5325407134015456,0.22478896593307204,3,0.1,250,1.0,1.0,2021
189,XG Boost Classifier,0.5278506241476975,0.3638467100506146,0.4307665967555536,0.5107518194158817,0.3592478142900211,3,0.1,250,1.0,1.0,2022
190,XG Boost Classifier,0.6792920353982301,0.11470412432755529,0.19626693940168755,0.5277295035187888,0.10693061811575003,3,0.1,250,1.0,1.0,2023
191,XG Boost Classifier,0.6,0.09950071326676177,0.17069440195778526,0.5272640421693677,0.08751129177958446,3,0.1,250,1.0,1.0,2024
192,XG Boost Classifier,0.5753853866399298,0.3471718088324259,0.43305192661415837,0.5509945585347908,0.31301243576164134,3,0.1,350,0.8,0.8,2019
193,XG Boost Classifier,0.6368058370490475,0.2990292494131083,0.4069596753302823,0.5861382963763675,0.2796840752777568,3,0.1,350,0.8,0.8,2020
194,XG Boost Classifier,0.5881093544137023,0.24330585269469238,0.3442093594872042,0.5360659187160659,0.22882122399758817,3,0.1,350,0.8,0.8,2021
195,XG Boost Classifier,0.530053428317008,0.3443239334779465,0.41746296133952837,0.5189316648757899,0.3385589388001206,3,0.1,350,0.8,0.8,2022
196,XG Boost Classifier,0.7006507592190889,0.1544530783024507,0.25311000097952785,0.5303035090662089,0.13959650251712782,3,0.1,350,0.8,0.8,2023
197,XG Boost Classifier,0.5874269005847953,0.14329529243937233,0.23038990825688077,0.524867987669148,0.12872628726287264,3,0.1,350,0.8,0.8,2024
198,XG Boost Classifier,0.5659629068004199,0.36690865093768904,0.4451988805798963,0.5441650298650943,0.33631477776470126,3,0.1,350,0.8,1.0,2019
