,mean_precision,mean_recall,mean_roc_auc,mean_f1_score,mean_coverage,std_precision,std_recall,std_roc_auc,std_f1_score,std_coverage,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,qual
46,0.609531522,0.235412048,0.548622762,0.32223464,0.218857178,0.061345595,0.11038913,0.029281501,0.117119674,0.106875316,4,0.03,350,1,0.8,PASS
47,0.60533223,0.234823803,0.546512693,0.318931857,0.219118042,0.068154643,0.119995975,0.029904042,0.123675597,0.114418494,4,0.03,350,1,1,FAIL
48,0.601682948,0.229969431,0.547088785,0.315673638,0.215182109,0.069867169,0.11280557,0.025663203,0.11941924,0.106160511,4,0.05,150,0.8,0.8,FAIL
49,0.604263818,0.228672643,0.545506322,0.313005706,0.213009503,0.069563694,0.117719161,0.025717848,0.127053527,0.111541906,4,0.05,150,0.8,1,FAIL
50,0.609116985,0.228105244,0.550113811,0.314857391,0.212332631,0.069405037,0.108627092,0.0288953,0.117217721,0.104014378,4,0.05,150,1,0.8,PASS
51,0.598343375,0.232928562,0.545472892,0.316813133,0.218350246,0.067457616,0.11824517,0.031920926,0.128425809,0.112600938,4,0.05,150,1,1,FAIL
52,0.600324319,0.242174855,0.546034993,0.329533114,0.226792276,0.063115773,0.109588835,0.024170831,0.110256471,0.103901212,4,0.05,250,0.8,0.8,FAIL
53,0.600872034,0.240789462,0.545616004,0.326950867,0.225388345,0.068231714,0.112857723,0.024919063,0.116519723,0.108332913,4,0.05,250,0.8,1,FAIL
54,0.606762452,0.243800141,0.547664066,0.331726189,0.226737573,0.06636373,0.109452313,0.029818162,0.110254974,0.104879833,4,0.05,250,1,0.8,FAIL
55,0.600128585,0.244889307,0.544836637,0.32862986,0.229193586,0.066870006,0.122719636,0.030019822,0.127131951,0.117339094,4,0.05,250,1,1,FAIL
56,0.602623154,0.25173442,0.545093145,0.33977383,0.235129802,0.061960235,0.108936198,0.022526143,0.106153322,0.104147987,4,0.05,350,0.8,0.8,FAIL
57,0.601040667,0.247527102,0.545630916,0.334697595,0.231277592,0.068067037,0.111644394,0.022973436,0.1111625,0.106675313,4,0.05,350,0.8,1,FAIL
58,0.607133957,0.25181294,0.547407161,0.34102371,0.23403678,0.06692942,0.105486405,0.027615126,0.103255537,0.102172047,4,0.05,350,1,0.8,FAIL
